Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
StackedEnsemble_BestOfFamily_2_AutoML_3_20230507_132440,stackedensemble,0.8584900580664141,21641.575441367033,6954.441696418847,25.853427382493415,StackedEnsemble,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_23,gbm,0.8584153630586926,21647.28636302414,7292.333981391099,27.109556060246696,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_23,gbm,0.8578974961381773,21686.839317119186,6969.73393181338,25.910276906085244,GBM,All predictors
StackedEnsemble_BestOfFamily_2_AutoML_2_20230507_122424,stackedensemble,0.857223409989023,21738.215971109392,6969.529470175613,25.909516811409745,StackedEnsemble,Without retrofit
XGBoost_grid_1_AutoML_3_20230507_132440_model_20,xgboost,0.8571043288967757,21747.27933008259,7333.782552492548,27.263642853961752,XGBoost,Without social indicators
XRT_1_AutoML_4_20230507_142453,drf,0.8570611582754802,21750.564148490477,7404.529396778831,27.52664720156277,DRF,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_2,gbm,0.8569822648922782,21756.565802270507,8142.683211381312,30.270764828253473,GBM,Without stand alone
XGBoost_grid_1_AutoML_1_20230507_112409_model_25,xgboost,0.8569808319679534,21756.67479376814,8280.998228345285,30.78495667902818,XGBoost,All predictors
XRT_1_AutoML_2_20230507_122424,drf,0.8569064387803629,21762.33255974904,7001.28776712725,26.027579606364746,DRF,Without retrofit
DeepLearning_grid_1_AutoML_3_20230507_132440_model_2,deeplearning,0.8567923911906037,21771.003275664483,8654.216899978548,32.172412674213234,DeepLearning,Without social indicators
DeepLearning_grid_1_AutoML_4_20230507_142453_model_3,deeplearning,0.8558681934396815,21841.140450087776,9574.840482586558,35.594869282314995,DeepLearning,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_25,xgboost,0.8557841959591417,21847.503839260145,8093.5805349100765,30.088223578236402,XGBoost,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_37,gbm,0.8553860305901229,21877.642434504112,7187.661822509912,26.72043293912008,GBM,Without retrofit
StackedEnsemble_BestOfFamily_5_AutoML_3_20230507_132440,stackedensemble,0.854200170203062,21967.159583427547,5697.941590268438,21.18233577392004,StackedEnsemble,Without social indicators
DeepLearning_1_AutoML_3_20230507_132440,deeplearning,0.8538959270989702,21990.06727094713,8547.741777127289,31.77658695924684,DeepLearning,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_44,gbm,0.8538849915968472,21990.890204637617,7443.809817582536,27.672673806016917,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_37,gbm,0.8527869001521466,22073.369098277642,7050.950307339896,26.212202173217094,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_13,gbm,0.8519251732587109,22137.879190505602,6754.630784471187,25.11062197441462,GBM,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_3,xgboost,0.8519188615515161,22138.35100035165,7465.578887710527,27.75360123316441,XGBoost,Without social indicators
StackedEnsemble_AllModels_1_AutoML_2_20230507_122424,stackedensemble,0.8517343511810777,22152.13899445,7033.846030679748,26.148616310560293,StackedEnsemble,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_46,gbm,0.8516024226254026,22161.9924227261,8103.134678285947,30.12374150516031,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_8,gbm,0.8515642743907914,22164.84080669043,6973.6797114556775,25.924945506657735,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_8,gbm,0.8497672107665899,22298.60845629678,6771.983395529654,25.17513103056614,GBM,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_27,xgboost,0.8496182722980397,22309.658966282197,7305.845056562901,27.159784046339887,XGBoost,All predictors
XGBoost_grid_1_AutoML_4_20230507_142453_model_17,xgboost,0.8494422838205987,22322.70940447735,7721.14575645743,28.703681738681002,XGBoost,Without stand alone
StackedEnsemble_BestOfFamily_3_AutoML_1_20230507_112409,stackedensemble,0.8491661089203564,22343.173807155705,7200.308282236259,26.767446681193597,StackedEnsemble,All predictors
DeepLearning_1_AutoML_1_20230507_112409,deeplearning,0.848767371816969,22372.68697633258,8753.821217796465,32.54269588458429,DeepLearning,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_44,gbm,0.8481335588217849,22419.51970626087,7517.719863094714,27.94743748625164,GBM,Without retrofit
DeepLearning_grid_2_AutoML_2_20230507_122424_model_1,deeplearning,0.8479074865867728,22436.200633404944,8673.240527422595,32.24313380354983,DeepLearning,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_45,gbm,0.847709849554001,22450.773291977668,7460.118559512995,27.733302235099305,GBM,Without retrofit
GBM_4_AutoML_1_20230507_112409,gbm,0.8476409274131437,22455.853004362645,7205.593103253936,26.787093223989455,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_32,gbm,0.8471122104244915,22494.782450308172,7172.747789351542,26.664989398132665,GBM,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_23,gbm,0.846762710850628,22520.47916869772,7032.004066044412,26.141768730118958,GBM,Without retrofit
XGBoost_grid_1_AutoML_2_20230507_122424_model_17,xgboost,0.846224786160274,22559.97252221305,7395.719258879546,27.493895146063302,XGBoost,Without retrofit
DeepLearning_1_AutoML_2_20230507_122424,deeplearning,0.8460892952092944,22569.909101212823,8906.638581841415,33.11080081616415,DeepLearning,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_10,xgboost,0.8460855658657848,22570.182540393893,7600.766600682016,28.25616720076948,XGBoost,All predictors
XGBoost_grid_1_AutoML_1_20230507_112409_model_20,xgboost,0.844319048522702,22699.335044838503,7474.117104794873,27.785342411680546,XGBoost,All predictors
GBM_4_AutoML_3_20230507_132440,gbm,0.8439068680248211,22729.36453283272,7166.060712621327,26.640129911175602,GBM,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_25,xgboost,0.8435813004419166,22753.055804934367,8183.829781940219,30.423728922341876,XGBoost,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_35,gbm,0.8427378424249146,22814.31908617016,7126.887018876435,26.494500069018876,GBM,Without social indicators
GBM_2_AutoML_1_20230507_112409,gbm,0.842729444778708,22814.928209259648,7613.7953923682535,28.304602277867787,GBM,All predictors
StackedEnsemble_BestOfFamily_2_AutoML_4_20230507_142453,stackedensemble,0.8426569520505061,22820.185791777243,7278.959536286433,27.059836002132947,StackedEnsemble,Without stand alone
DeepLearning_grid_2_AutoML_2_20230507_122424_model_2,deeplearning,0.8426451375251823,22821.04253316347,12614.066981072276,46.89332069042899,DeepLearning,Without retrofit
StackedEnsemble_AllModels_1_AutoML_4_20230507_142453,stackedensemble,0.8412554438418018,22921.594063092543,7289.287574210413,27.098230914352683,StackedEnsemble,Without stand alone
XGBoost_grid_1_AutoML_4_20230507_142453_model_27,xgboost,0.8411242955709763,22931.0605508578,7754.334793868162,28.827063371031887,XGBoost,Without stand alone
DeepLearning_grid_2_AutoML_1_20230507_112409_model_1,deeplearning,0.8407851070294151,22955.525607020554,8918.65046791515,33.15545550418806,DeepLearning,All predictors
XGBoost_grid_1_AutoML_2_20230507_122424_model_20,xgboost,0.8407648777511949,22956.983884434336,7397.988332755803,27.502330522941293,XGBoost,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_35,gbm,0.8406519648005777,22965.1217920608,7112.142906550534,26.439688215821043,GBM,Without retrofit
XGBoost_grid_1_AutoML_1_20230507_112409_model_17,xgboost,0.8405360320780679,22973.474342532678,7356.155834079447,27.346816462436003,XGBoost,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_9,gbm,0.83966738291759,23035.961143676457,8169.520363012339,30.370533060001392,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_8,gbm,0.8391715664741866,23071.55212960653,6867.914023697597,25.53175714627202,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_13,gbm,0.8390753900552405,23078.449565523006,6418.51489563683,23.861097123475684,GBM,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_20,xgboost,0.8383661562387092,23129.249819277728,7704.076177127717,28.640224864798842,XGBoost,Without stand alone
StackedEnsemble_BestOfFamily_5_AutoML_2_20230507_122424,stackedensemble,0.8379418355665452,23159.589338459187,6300.2382354809315,23.4213987008174,StackedEnsemble,Without retrofit
XGBoost_2_AutoML_3_20230507_132440,xgboost,0.8379354518323076,23160.045480881807,7336.204915718454,27.27264809039751,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_7,xgboost,0.8377721636100388,23171.71000158457,7229.84753226778,26.877260076568888,XGBoost,Without social indicators
XGBoost_grid_1_AutoML_4_20230507_142453_model_7,xgboost,0.8377410565391723,23173.931474455858,7725.740720553151,28.720763709565166,XGBoost,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_35,gbm,0.8374226085996372,23196.66080231838,7437.82669615495,27.650431302290357,GBM,Without stand alone
DeepLearning_grid_1_AutoML_4_20230507_142453_model_2,deeplearning,0.8373853014023568,23199.322158710926,10277.06529994785,38.20541936158069,DeepLearning,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_46,gbm,0.8370131715905796,23225.851820680116,7876.929228823189,29.282813301790483,GBM,Without retrofit
StackedEnsemble_AllModels_1_AutoML_1_20230507_112409,stackedensemble,0.8368661890330162,23236.32207105805,7166.576708891923,26.642048148856468,StackedEnsemble,All predictors
StackedEnsemble_BestOfFamily_2_AutoML_1_20230507_112409,stackedensemble,0.8368661890330162,23236.32207105805,7166.576708891923,26.642048148856468,StackedEnsemble,All predictors
XGBoost_grid_1_AutoML_3_20230507_132440_model_6,xgboost,0.8367669808917506,23243.386461755425,7598.3726835193465,28.24726771376153,XGBoost,Without social indicators
