Model,Algorithm...2,R_squared,RMSE,MAE,MAPE,Algorithm...7,Approach
GBM_grid_1_AutoML_1_20230507_112409_model_31,gbm,0.7628098615423184,28018.42449695532,8092.031677791691,30.082465637227756,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_24,gbm,0.7626971839125942,28025.078809883045,8435.080691931613,31.35776467097614,GBM,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_29,gbm,0.7626840272969437,28025.855686630843,7615.679499362231,28.31160652428698,GBM,Without social indicators
StackedEnsemble_BestOfFamily_1_AutoML_1_20230507_112409,stackedensemble,0.7615247520762269,28094.224660529704,7618.143714087391,28.320767345418695,StackedEnsemble,All predictors
XGBoost_grid_1_AutoML_1_20230507_112409_model_28,xgboost,0.7606819324941309,28143.826199380084,7281.49190914628,27.069250203976235,XGBoost,All predictors
XGBoost_grid_1_AutoML_4_20230507_142453_model_16,xgboost,0.7600570644615974,28180.54451512656,8452.5414652052,31.422675824678574,XGBoost,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_23,xgboost,0.7598685590620438,28191.61202551942,8318.981916124945,30.926162624321595,XGBoost,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_24,gbm,0.7575080646179657,28329.835085494535,8305.88307484776,30.877467134944077,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_39,gbm,0.7570902069383596,28354.233306894763,7191.913604550707,26.736239116385825,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_39,gbm,0.7568515134036566,28368.160926440898,7201.245991344095,26.770932653955125,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_24,gbm,0.7559083078878526,28423.129616435344,8990.9238482931,33.424134813448916,GBM,Without stand alone
XGBoost_1_AutoML_1_20230507_112409,xgboost,0.7526151403840435,28614.22282654789,7752.529952958906,28.82035379959232,XGBoost,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_31,gbm,0.752020427245796,28648.596472510395,8044.305268488401,29.90504071787224,GBM,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_23,xgboost,0.7518733934842472,28657.08847578831,8552.34720043094,31.793707812673205,XGBoost,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_4,gbm,0.7501930956884748,28753.95675769239,7532.937627481056,28.00401016076105,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_4,gbm,0.7476541507413093,28899.70963814246,7790.954403351142,28.963198298301606,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_39,gbm,0.7475488013734024,28905.741535351954,7407.310760471563,27.536987037223682,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_38,gbm,0.7472662544905526,28921.912865238966,8279.503238603393,30.779398992240832,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_31,gbm,0.7444349821163372,29083.46184061397,8274.121556272488,30.759392363468702,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_25,gbm,0.7426306880994211,29185.94617766759,7336.135102393695,27.27238855644773,GBM,All predictors
DeepLearning_grid_3_AutoML_2_20230507_122424_model_1,deeplearning,0.7421990541133141,29210.409795224354,9019.699922665237,33.531111071444776,DeepLearning,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_11,gbm,0.7411197861053718,29271.489738692344,8444.837051325472,31.39403434439026,GBM,Without social indicators
XGBoost_grid_1_AutoML_3_20230507_132440_model_26,xgboost,0.7374992577020897,29475.464950743277,7535.900063688684,28.0150231410566,XGBoost,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_20,gbm,0.7336467468552634,29690.97089554681,8398.124848886137,31.220379781398726,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_25,gbm,0.7329029938766656,29732.395870735203,7328.063602194412,27.24238241743913,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_25,gbm,0.732582910436933,29750.20587577696,7641.751979908164,28.40853205934796,GBM,Without stand alone
XGBoost_grid_1_AutoML_3_20230507_132440_model_12,xgboost,0.7292523002532434,29934.89811375014,7890.01548221064,29.331461995162318,XGBoost,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_38,gbm,0.7291225225596192,29942.071612574717,8348.499255042783,31.035894564216893,GBM,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_49,gbm,0.7284302536886325,29980.307972847593,7605.297169304972,28.273009778794872,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_4,gbm,0.7275858647950109,30026.880523750922,7995.139336217067,29.722264311777106,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_36,gbm,0.7269242581410589,30063.3212476045,7762.916572691376,28.858966492131145,GBM,Without social indicators
DeepLearning_grid_3_AutoML_3_20230507_132440_model_1,deeplearning,0.7253244697553427,30151.254209884974,9538.558873772106,35.459990886643425,DeepLearning,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_38,gbm,0.7221445714165373,30325.2814064622,8631.001534940642,32.08610858534947,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_11,gbm,0.7213863989816724,30366.626881942862,8676.41868930611,32.25494875305291,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_20,gbm,0.7204162176556803,30419.45189044407,8319.701791848296,30.928838792380876,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_11,gbm,0.71989171602823665,30447.97209992334,8915.258574483192,33.142845998729506,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_20,gbm,0.7186783432586779,30513.84808337615,8682.401824677481,32.27719130861607,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_11,gbm,0.7168926905042754,30610.536245103238,8675.2136758491215,32.250469065212364,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_29,gbm,0.7163362685104439,30640.602609254984,7830.008567692436,29.10838378490962,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_20,gbm,0.7140863303795649,30761.87877194584,8485.037133050115,31.54347982671755,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_36,gbm,0.7138214346455531,30776.125736640584,8163.575498634641,30.34843277845518,GBM,Without stand alone
GBM_grid_1_AutoML_4_20230507_142453_model_29,gbm,0.7134936694367271,30793.74490496918,8196.319654108813,30.47016054363128,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_36,gbm,0.7130739186600663,30816.294088312243,7891.016943637541,29.335184969831886,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_36,gbm,0.7106146435771783,30948.07723623399,7898.088684112877,29.3614744603227,GBM,All predictors
GBM_grid_1_AutoML_2_20230507_122424_model_29,gbm,0.7039300787816658,31303.47423078628,7896.3446326588555,29.354990876221176,GBM,Without retrofit
XGBoost_grid_1_AutoML_4_20230507_142453_model_30,xgboost,0.6810348573903275,32491.29407364621,8589.34251001679,31.931239420762342,XGBoost,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_27,gbm,0.6653531319114825,33280.4185056019,7844.852637056428,29.163567232570166,GBM,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_27,gbm,0.6626098594387095,33416.54844584515,7699.5581319481,28.62342884319697,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_27,gbm,0.65907103573145,33591.34134258895,8097.612930720553,30.103214178030672,GBM,Without stand alone
GBM_grid_1_AutoML_1_20230507_112409_model_27,gbm,0.6556100838812757,33761.41262722929,7807.928712606108,29.026301001702976,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_51,gbm,0.6471484409352775,34173.65391252625,9969.004782204547,37.06019152409791,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_30,gbm,0.6412304842633803,34459.03916952105,8479.888528212785,31.52433967325971,GBM,All predictors
GBM_1_AutoML_3_20230507_132440,gbm,0.6407461006671764,34482.293323674414,7787.460292747104,28.950208796237852,GBM,Without social indicators
DeepLearning_grid_1_AutoML_4_20230507_142453_model_4,deeplearning,0.6398201650020348,34526.70180302094,11761.222903330508,43.72283722173584,DeepLearning,Without stand alone
DeepLearning_grid_1_AutoML_2_20230507_122424_model_4,deeplearning,0.6389085369733882,34570.368347895426,11735.82979086218,43.62843726586972,DeepLearning,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_30,gbm,0.6388188181353311,34574.66285629532,8405.271756231394,31.246948707866995,GBM,Without retrofit
GBM_grid_1_AutoML_3_20230507_132440_model_30,gbm,0.6377697666470227,34624.83753941342,8468.976970868061,31.483775503229065,GBM,Without social indicators
GBM_1_AutoML_4_20230507_142453,gbm,0.6354600568579625,34735.052313114335,8141.3372712407,30.265761239582307,GBM,Without stand alone
GBM_1_AutoML_2_20230507_122424,gbm,0.6346929941363679,34771.577751510595,7921.407481141668,29.448163061931282,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_30,gbm,0.6337084026320997,34818.405162526375,8651.420422934129,32.16201665403638,GBM,Without stand alone
DeepLearning_grid_1_AutoML_3_20230507_132440_model_4,deeplearning,0.6298689211268311,35000.41333031676,10294.665906725559,38.270850352173305,DeepLearning,Without social indicators
GBM_grid_1_AutoML_3_20230507_132440_model_19,gbm,0.6297886697902737,35004.20749659317,8188.738350493219,30.441976730890236,GBM,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_16,gbm,0.6283765433762654,35070.90361732431,8420.199128250548,31.302441836626333,GBM,Without retrofit
GBM_1_AutoML_1_20230507_112409,gbm,0.6281333091463643,35082.379008214775,7885.506377767889,29.314699211123052,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_14,gbm,0.6279045365882923,35093.16869680986,8729.373598916383,32.45181084061066,GBM,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_19,gbm,0.6278387652787746,35096.27008059538,8304.747343077164,30.873245004665495,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_6,gbm,0.6260039804080304,35182.67743226638,8446.85941628442,31.40155257056706,GBM,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_16,gbm,0.6231429622611295,35316.99237232823,8279.238110453765,30.77841336727442,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_16,gbm,0.6225676943579201,35343.9375832622,8237.917931791562,30.62480387781317,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_14,gbm,0.6225199349527928,35346.17368230952,9117.916712260041,33.8962360877115,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_14,gbm,0.6201262470707877,35458.06568642163,8595.4591818015,31.953978403517773,GBM,Without social indicators
GBM_grid_1_AutoML_2_20230507_122424_model_19,gbm,0.619531019438539,35485.83459536027,8308.766632607374,30.888186881315637,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_16,gbm,0.6189006148356717,35515.22092618162,8696.20247463981,32.32849580108395,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_48,gbm,0.6188877681862701,35515.81952036005,8356.033466869267,31.063903311265644,GBM,Without retrofit
GBM_grid_1_AutoML_1_20230507_112409_model_6,gbm,0.6167772595910546,35614.022818150435,8436.848694365332,31.364337293844734,GBM,All predictors
GBM_grid_1_AutoML_3_20230507_132440_model_48,gbm,0.6153323193531105,35681.100933363196,8195.305903975352,30.466391885181977,GBM,Without social indicators
GBM_grid_1_AutoML_4_20230507_142453_model_19,gbm,0.6120871482282118,35831.29302976675,8632.617525692725,32.09211609844449,GBM,Without stand alone
GBM_grid_1_AutoML_2_20230507_122424_model_14,gbm,0.6089702967735029,35974.95593917267,8834.15446927522,32.84133810119458,GBM,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_6,gbm,0.5997018676568568,36398.80942367788,8566.214631008415,31.84526056486626,GBM,Without retrofit
GBM_grid_1_AutoML_4_20230507_142453_model_6,gbm,0.5901866507302654,36828.87451144629,8934.1015474131491,33.21289553736692,GBM,Without stand alone
DeepLearning_grid_1_AutoML_1_20230507_112409_model_4,deeplearning,0.5856671231385919,37031.39685123485,11793.141656246298,43.84149651843726,DeepLearning,All predictors
GBM_grid_1_AutoML_1_20230507_112409_model_48,gbm,0.5855814750823489,37035.2240919005,8602.72603830974,31.980993246007795,GBM,All predictors
DeepLearning_grid_2_AutoML_4_20230507_142453_model_2,deeplearning,0.5704040892432541,37707.30257716012,11252.34539038077,41.83106381965172,DeepLearning,Without stand alone
DeepLearning_grid_2_AutoML_1_20230507_112409_model_2,deeplearning,0.5423027674581524,38921.04926133237,11145.008662408747,41.432035051673395,DeepLearning,All predictors
XGBoost_grid_1_AutoML_1_20230507_112409_model_31,xgboost,0.52170480580615,39787.202576161486,14040.839734710851,52.19740797561104,XGBoost,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_48,gbm,0.5052977668096887,40463.86210274897,9747.526377051252,36.23683630532173,GBM,Without stand alone
XGBoost_grid_1_AutoML_2_20230507_122424_model_32,xgboost,0.4500387196918756,42663.988508482136,13694.866933699206,50.911239642087104,XGBoost,Without retrofit
GBM_grid_1_AutoML_2_20230507_122424_model_50,gbm,0.3352215979481331,46906.58840746629,14835.22658103785,55.15057424569406,GBM,Without retrofit
XGBoost_grid_1_AutoML_3_20230507_132440_model_27,xgboost,0.27924688158377886,48841.462688089334,19016.49253768613,70.69460502429182,XGBoost,Without social indicators
GBM_grid_1_AutoML_1_20230507_112409_model_49,gbm,0.12683650694439608,53758.009700085786,17483.4073313927,64.99529675739065,GBM,All predictors
GBM_grid_1_AutoML_4_20230507_142453_model_49,gbm,0.12530363810130585,53805.17603533669,17458.04969608641,64.90102868935573,GBM,Without stand alone
GBM_grid_1_AutoML_3_20230507_132440_model_52,gbm,0.09162971352565719,54831.08708999291,17569.684814920336,65.31603690483837,GBM,Without social indicators
GLM_1_AutoML_1_20230507_112409,glm,2.3458898436024e-6,57530.06796967882,19044.49475327297,70.79870442994161,GLM,All predictors
GLM_1_AutoML_2_20230507_122424,glm,2.345860506958175e-6,57530.067970522694,19044.494759827383,70.79870445430791,GLM,Without retrofit
GLM_1_AutoML_4_20230507_142453,glm,2.3424427403329062e-6,57530.06806883509,19044.495098523374,70.7987057134244,GLM,Without stand alone
GLM_1_AutoML_3_20230507_132440,glm,2.283246645640169e-6,57530.069771616734,19044.49686848377,70.79871229332608,GLM,Without social indicators
